,zcode,계_x,sum_x,charger_id_x,sum_rel,계_rel,charger_id_rel,per,계_y,sum_y,charger_id_y,char,법정동코드,법정동명
0,1120010600,54,73904.0,2,0.0737586217565179,0.00357355568790947,0.022988505747126436,1,74.875,26020.375,3.75,1.7502256827781548,1120010600,서울특별시 성동구 사근동
1,1120011800,140,17200.0,10,0.0171661654878235,0.009264774005691218,0.11494252873563218,2,131.5,44954.0,6.125,1.4737458454013437,1120011800,서울특별시 성동구 송정동
2,1111018700,132,14486.0,9,0.014457504259105303,0.008735358348223149,0.10344827586206896,2,131.5,44954.0,6.125,1.338156043614083,1111018700,서울특별시 종로구 무악동
3,1138010600,27,24251.0,1,0.024203295304953937,0.001786777843954735,0.011494252873563218,0,31.875,13660.75,2.25,1.1565204519014403,1138010600,서울특별시 은평구 대조동
4,1162010300,96,17313.0,7,0.01727894320294699,0.006352987889616835,0.08045977011494253,1,74.875,26020.375,3.75,0.8245728643467671,1162010300,서울특별시 관악구 남현동
5,1117012100,25,20087.0,1,0.02004748640429713,0.0016544239295877175,0.011494252873563218,0,31.875,13660.75,2.25,0.752846524925704,1117012100,서울특별시 용산구 용문동
6,1141010600,60,39867.0,2,0.039788576715294156,0.0039706174310105225,0.022988505747126436,1,74.875,26020.375,3.75,0.7436300500499695,1141010600,서울특별시 서대문구 천연동
7,1144010800,58,17478.0,7,0.017443618627684832,0.0038382635166435046,0.08045977011494253,1,74.875,26020.375,3.75,0.6802188364120241,1144010800,서울특별시 마포구 대흥동
8,1120011300,1308,317339.0,14,0.3167147552174664,0.08655945999602939,0.16091954022988506,7,1092.375,170556.875,17.25,0.5610364119078749,1120011300,서울특별시 성동구 옥수동
9,1153010300,24,9534.0,4,0.009515245451215654,0.0015882469724042088,0.04597701149425287,0,31.875,13660.75,2.25,0.4898451033783906,1153010300,서울특별시 구로구 가리봉동
10,1150010100,2016,137303.0,29,0.13703290813805988,0.13341274568195355,0.3333333333333333,8,1696.125,308702.625,25.5,0.4553927779309077,1150010100,서울특별시 강서구 염창동
11,1141011400,111,64123.0,4,0.06399686218463409,0.007345642247369466,0.04597701149425287,2,131.5,44954.0,6.125,0.4384246806444207,1141011400,서울특별시 서대문구 신촌동
12,1114017100,235,65585.0,6,0.06545598625109908,0.015551584938124545,0.06896551724137931,3,229.25,43134.625,7.625,0.34428240430378043,1114017100,서울특별시 중구 중림동
13,1168010700,325,57631.0,16,0.057517632745857916,0.02150751108464033,0.1839080459770115,4,304.25,70600.375,10.0,0.33210651292242926,1168010700,서울특별시 강남구 신사동
14,1144010100,474,52615.0,11,0.052511499833827524,0.03136787770498312,0.12643678160919541,5,499.1111111111111,76582.33333333333,8.88888888888889,0.3180637893163461,1144010100,서울특별시 마포구 아현동
15,1138011000,246,30947.0,10,0.03088612345067871,0.01627953146714314,0.11494252873563218,3,229.25,43134.625,7.625,0.312776929804906,1138011000,서울특별시 은평구 증산동
16,1174010300,1032,102246.0,20,0.10204486956209312,0.06829461981338097,0.22988505747126436,7,1092.375,170556.875,17.25,0.3096764388218588,1174010300,서울특별시 강동구 상일동
17,1168011500,638,178525.0,12,0.17817381940195873,0.04222089868307855,0.13793103448275862,6,656.5,146489.25,18.125,0.2904396747454195,1168011500,서울특별시 강남구 수서동
18,1117013600,48,10178.0,3,0.010157978624131836,0.0031764939448084176,0.034482758620689655,0,31.875,13660.75,2.25,0.2590957596931846,1117013600,서울특별시 용산구 보광동
19,1120012200,315,81368.0,7,0.08120793915193154,0.02084574151280524,0.08045977011494253,4,304.25,70600.375,10.0,0.174668737926065,1120012200,서울특별시 성동구 용답동
20,1121510200,88,21672.0,5,0.02162936851465761,0.0058235722321487654,0.05747126436781609,1,74.875,26020.375,3.75,0.16599994571913324,1121510200,서울특별시 광진구 능동
21,1141011000,315,105365.0,9,0.10515773410607693,0.02084574151280524,0.10344827586206896,4,304.25,70600.375,10.0,0.14554058681642523,1141011000,서울특별시 서대문구 북아현동
22,1138010200,1904,329412.0,19,0.3287640061438904,0.12600092647740058,0.21839080459770116,8,1696.125,308702.625,25.5,0.08240140684401949,1138010200,서울특별시 은평구 녹번동
23,1144010500,395,64726.0,10,0.0645986760095851,0.026139898087485937,0.11494252873563218,5,499.1111111111111,76582.33333333333,8.88888888888889,0.07516653372532682,1144010500,서울특별시 마포구 용강동
24,1123010800,30,12369.0,3,0.012344668658074934,0.0019853087155052612,0.034482758620689655,0,31.875,13660.75,2.25,0.07402062126279389,1123010800,서울특별시 동대문구 회기동
25,1174011000,1771,320114.0,19,0.31948429645169374,0.1171993911719939,0.21839080459770116,8,1696.125,308702.625,25.5,0.04529205774118556,1174011000,서울특별시 강동구 강일동
26,1144010400,624,157215.0,17,0.15690573878884717,0.04129442128250943,0.19540229885057472,6,656.5,146489.25,18.125,0.016023794377576575,1144010400,서울특별시 마포구 도화동
27,1144012400,160,52057.0,6,0.05195459748835046,0.010588313149361392,0.06896551724137931,2,131.5,44954.0,6.125,0.00986943198534637,1144012400,서울특별시 마포구 연남동
28,1121510700,140,44661.0,7,0.044573146328586354,0.009264774005691218,0.08045977011494253,2,131.5,44954.0,6.125,0.0027323981986660775,1121510700,서울특별시 광진구 화양동
29,1123010300,342,48312.0,10,0.04821696436324006,0.022632519356759976,0.11494252873563218,4,304.25,70600.375,10.0,-0.0,1123010300,서울특별시 동대문구 제기동
30,1138010500,310,38016.0,10,0.03794121785959873,0.020514856726887697,0.11494252873563218,4,304.25,70600.375,10.0,-0.0,1138010500,서울특별시 은평구 구산동
